Risk,Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 1st sem (approved),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Tuition fees up to date,Gender,Scholarship holder,Course,Risk
0,10.2,5,5,6,5,5,8,1,0,0,9,0
0,10.6,4,5,11,6,6,11,1,0,0,10,0
0,11.444444444444445,5,9,11,11,10,10,1,0,0,3,0
0,14.333333333333334,8,5,8,8,6,9,1,0,0,16,0
0,13.0,13,16,15,13,16,18,1,0,1,10,0
0,13.31,8,8,9,8,8,9,1,0,1,12,0
0,10.571428571428571,5,5,9,6,6,10,1,0,1,10,0
0,13.487142857142857,7,7,8,8,8,8,1,0,1,12,0
0,12.333333333333334,6,6,7,6,6,6,1,0,1,11,0
0,11.875,5,6,9,6,6,11,1,0,0,14,0
0,13.966666666666669,6,6,7,7,7,7,1,0,0,12,0
1,0.0,0,0,10,5,5,10,0,0,0,11,1
0,11.5,5,4,5,5,5,8,1,0,0,14,0
1,12.5,0,2,0,7,2,2,1,0,0,13,1
1,0.0,0,0,0,8,7,0,1,0,0,12,1
0,11.98,7,6,11,8,7,10,1,0,0,12,0
0,13.2,5,5,7,6,6,8,1,0,1,10,0
0,11.614285714285714,8,6,8,8,7,10,1,0,0,12,0
0,14.314285714285717,7,7,8,8,8,8,1,0,1,12,0
1,0.0,0,0,0,8,7,0,1,0,0,12,1
0,12.666666666666666,2,6,12,6,6,9,1,0,0,6,0
0,12.766666666666666,7,6,10,8,7,9,1,0,1,12,0
0,12.666666666666666,5,6,7,6,6,7,1,0,1,16,0
0,11.5,4,6,10,6,6,7,1,0,0,14,0
0,11.4,4,5,14,6,6,13,1,0,0,14,0
0,14.70625,8,7,8,8,7,8,1,0,1,12,0
0,11.814285714285717,7,6,8,8,7,9,1,0,1,12,0
0,13.0,6,6,8,6,6,8,1,0,0,5,0
0,14.857142857142858,6,6,6,6,6,7,1,0,0,14,0
0,12.6,6,6,7,7,7,7,1,0,0,12,0
0,13.333333333333334,4,5,17,6,6,9,1,0,0,6,0
0,10.666666666666666,6,6,12,7,7,10,1,0,0,16,0
0,11.5,1,2,5,5,5,6,0,0,0,8,0
1,10.0,0,1,0,7,7,9,1,0,0,13,1
0,11.8,5,5,10,6,6,10,1,0,0,11,0
0,11.8,6,5,6,6,6,7,1,0,0,5,0
0,12.77125,8,8,8,8,8,8,1,0,0,12,0
0,11.333333333333334,5,3,8,5,5,13,1,0,0,6,0
0,12.666666666666666,5,6,7,6,6,6,1,0,0,11,0
0,12.2,4,5,11,6,6,10,0,0,0,5,0
1,12.0,0,1,10,4,5,9,0,0,0,6,1
0,11.721428571428572,7,7,12,8,8,12,1,0,1,12,0
0,14.0,3,4,14,7,7,12,1,0,0,12,0
0,14.75,5,7,12,7,7,9,1,0,0,1,0
0,12.666666666666666,6,6,6,6,6,6,1,0,0,15,0
0,13.0,5,4,6,5,5,12,1,0,0,8,0
1,0.0,0,0,5,5,5,6,1,0,0,9,1
1,10.75,0,4,9,6,6,8,1,0,0,5,1
1,0.0,0,0,10,5,5,5,0,0,0,3,1
0,12.5,4,4,7,5,5,6,1,0,0,14,0
1,0.0,0,0,0,5,4,4,0,0,0,17,1
1,0.0,0,0,4,4,5,5,0,0,0,3,1
1,0.0,0,0,0,6,6,0,0,0,0,10,1
0,12.5,5,6,15,6,6,7,1,0,0,4,0
0,12.8,3,5,9,6,6,10,1,0,0,16,0
0,10.0,1,1,11,6,6,11,1,0,0,3,0
0,11.25,5,4,10,6,6,11,1,0,0,16,0
0,12.61,7,7,8,8,8,8,1,0,1,12,0
0,12.0,5,2,6,5,5,14,1,0,0,8,0
0,13.0,6,5,7,6,6,9,0,0,0,10,0
0,12.0,5,4,8,5,5,9,1,0,1,6,0
1,12.0,0,4,8,8,7,8,1,0,0,13,1
0,12.0,1,1,9,5,5,12,1,1,0,7,0
0,12.0,3,1,6,5,5,9,1,1,0,7,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
1,0.0,0,0,9,5,5,5,0,1,0,9,1
0,13.625,4,5,9,6,6,11,1,1,0,8,0
0,11.666666666666666,3,3,10,5,5,12,1,1,1,9,0
1,0.0,0,0,0,6,6,0,1,1,0,14,1
0,11.69,7,7,8,8,8,8,1,1,0,12,0
1,0.0,0,0,12,6,6,11,0,1,0,5,1
1,0.0,0,0,0,0,0,0,1,1,0,2,1
0,11.5,5,4,11,5,5,10,1,1,0,17,0
1,14.0,0,1,0,5,5,10,1,1,0,7,1
0,11.0,5,5,7,6,6,7,1,1,0,11,0
0,12.857142857142858,6,6,6,6,6,7,1,1,0,4,0
0,12.5,6,4,6,6,6,9,1,1,0,15,0
0,14.528571428571428,8,7,11,8,7,7,1,1,0,12,0
0,10.0,2,5,10,5,5,8,1,1,0,9,0
0,13.0,6,6,10,6,6,8,1,1,1,4,0
0,15.957142857142856,8,7,9,8,7,7,1,1,1,12,0
0,13.2,5,5,8,5,5,6,1,1,1,7,0
0,10.2,3,4,6,5,5,9,1,1,0,9,0
0,14.2,2,5,5,5,5,6,1,1,0,7,0
0,12.625,2,6,11,6,6,8,1,1,0,14,0
0,13.496666666666668,6,6,11,8,8,11,1,1,0,12,0
0,13.25,5,5,8,5,5,8,1,1,0,9,0
0,12.0,3,3,10,5,5,12,1,1,0,7,0
0,13.0,4,4,9,6,6,10,0,1,0,15,0
0,11.77777777777778,3,9,11,8,11,12,1,1,0,5,0
1,11.0,0,2,10,6,5,10,1,1,0,7,1
1,0.0,0,0,5,5,5,14,1,1,0,9,1
0,12.428571428571429,6,14,13,9,14,16,1,1,0,4,0
0,11.0,3,3,11,5,5,8,1,1,0,9,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
0,11.5,3,3,12,6,6,12,1,1,0,11,0
0,12.5075,8,8,8,8,8,8,1,1,0,12,0
0,12.090909090909092,11,11,14,12,12,18,1,1,0,4,0
0,11.0,3,2,9,5,5,14,1,1,0,8,0
0,10.0,2,1,8,5,5,13,1,1,0,17,0
0,13.5,5,6,9,6,6,6,1,1,0,8,0
0,14.166666666666666,6,6,8,6,6,6,1,1,0,5,0
0,14.0,6,6,7,6,6,7,1,1,0,14,0
1,0.0,0,0,5,3,3,4,1,1,0,4,1
0,11.666666666666666,3,3,10,5,5,9,1,1,0,7,0
0,14.6,5,5,5,5,5,7,1,1,0,6,0
0,13.0,5,5,13,6,6,10,1,1,0,4,0
0,12.166666666666666,6,6,9,6,6,7,1,1,0,3,0
0,0.0,1,0,5,5,5,9,1,1,0,9,0
0,10.5,3,3,11,5,5,10,1,1,0,7,0
0,12.4,5,3,8,5,5,14,1,1,0,9,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
1,0.0,0,0,8,5,5,12,0,1,0,6,1
0,13.828571428571427,7,7,8,8,8,8,1,1,0,12,0
0,10.6,5,5,6,5,5,7,1,0,1,17,0
0,11.5,6,6,6,6,6,7,1,0,0,10,0
0,13.5,6,4,8,6,6,6,1,0,0,5,0
1,0.0,0,0,0,6,6,12,1,0,0,3,1
0,12.5375,7,7,9,8,7,8,1,0,0,12,0
0,14.833333333333334,6,6,8,6,6,6,1,0,0,14,0
0,12.0,4,4,9,5,5,10,1,0,0,9,0
0,11.8,5,5,8,6,6,8,1,0,0,11,0
0,15.0,5,5,5,5,5,5,1,0,1,9,0
0,12.0,5,3,7,5,5,7,1,0,0,6,0
0,12.833333333333334,6,6,7,6,6,6,1,0,1,15,0
0,11.666666666666666,3,6,14,6,6,12,1,0,0,11,0
0,12.1625,8,7,8,8,7,9,1,0,0,13,0
0,13.833333333333334,6,6,11,6,6,6,1,0,0,14,0
0,12.45,5,4,11,7,7,12,1,0,0,12,0
0,12.125,6,6,7,6,6,9,1,0,1,14,0
0,13.4,4,5,10,6,6,8,1,0,0,14,0
0,13.333333333333334,5,6,8,6,6,8,1,0,0,4,0
0,11.454545454545457,11,11,16,13,15,15,1,0,0,17,0
0,12.0,3,4,14,6,6,10,0,0,1,16,0
0,12.666666666666666,5,6,9,7,7,8,0,0,0,16,0
0,12.666666666666666,6,6,9,6,6,7,1,0,0,14,0
0,11.88888888888889,13,18,13,13,18,22,1,0,0,4,0
1,0.0,0,0,0,6,6,0,1,0,0,8,1
0,13.0,4,4,8,6,6,6,0,0,0,5,0
0,16.885714285714283,8,7,9,8,7,7,1,0,0,12,0
0,12.5,6,6,6,6,6,6,1,0,0,3,0
0,13.055555555555555,8,7,8,8,7,9,1,0,1,12,0
1,0.0,0,0,0,0,0,0,0,0,0,2,1
1,0.0,0,0,5,5,5,7,1,0,1,8,1
0,12.355714285714283,7,7,8,8,8,8,1,0,1,12,0
1,0.0,0,0,0,6,6,0,1,0,0,6,1
0,11.98,5,5,8,7,7,8,1,0,1,12,0
0,13.857142857142858,7,7,8,7,7,7,1,0,1,16,0
0,13.0,6,5,6,6,6,9,1,0,0,3,0
0,12.833333333333334,6,6,10,6,6,6,1,0,0,5,0
0,11.0,5,4,7,5,5,11,1,0,0,9,0
0,12.357142857142858,7,7,8,8,8,8,1,0,1,12,0
0,13.857142857142858,7,7,8,8,8,8,1,0,1,12,0
0,12.333333333333334,6,6,6,6,6,6,1,0,1,10,0
0,12.847142857142858,8,7,10,8,7,8,1,0,0,12,0
0,12.339999999999998,8,6,9,8,7,9,1,0,1,12,0
0,12.666666666666666,4,5,19,6,6,10,1,0,0,6,0
0,13.833333333333334,6,6,6,6,6,6,1,0,0,15,0
0,10.75,2,2,11,5,5,15,1,0,0,9,0
0,13.25,4,4,10,6,6,11,1,0,0,16,0
0,13.73125,8,8,8,8,8,8,1,0,1,12,0
0,13.333333333333334,3,6,8,6,6,6,1,0,1,5,0
0,12.0,5,5,9,6,6,8,1,0,0,16,0
0,10.88888888888889,6,9,10,8,9,10,1,0,0,3,0
0,13.025,8,7,9,8,7,8,1,0,0,12,0
0,13.0,6,6,6,6,6,6,1,0,0,15,0
0,11.8,5,5,10,6,6,10,1,0,0,15,0
0,12.042857142857144,7,7,8,8,8,8,1,0,1,12,0
0,12.2,4,5,10,6,6,9,1,0,0,16,0
0,12.8375,8,7,8,8,7,8,1,0,1,12,0
0,11.0,7,7,13,8,7,13,1,0,1,13,0
0,13.5,5,6,9,6,6,7,1,0,1,14,0
0,12.125,6,6,7,6,6,8,1,0,1,10,0
0,12.62857142857143,7,7,12,8,8,12,1,0,1,12,0
0,10.666666666666666,4,3,7,5,5,9,1,0,0,17,0
0,11.2,5,5,13,6,6,11,1,0,0,10,0
0,12.666666666666666,6,6,6,6,6,6,1,0,1,15,0
1,13.5,0,4,6,6,6,7,0,0,0,14,1
0,11.666666666666666,2,3,15,5,5,9,1,0,0,9,0
0,10.5,3,2,7,5,5,8,1,0,0,9,0
0,14.26875,8,8,8,8,8,8,1,0,0,12,0
1,0.0,0,0,0,6,6,0,0,0,0,15,1
0,10.5,3,2,11,5,5,8,1,0,1,9,0
0,11.2,1,5,15,6,6,11,1,0,0,10,0
0,12.0,5,5,6,5,5,5,1,0,0,17,0
0,12.228571428571428,8,7,10,8,7,9,1,0,0,13,0
0,11.5,4,4,5,5,5,6,1,0,0,14,0
0,15.375,6,6,7,6,6,8,1,0,0,10,0
0,13.666666666666666,6,9,15,9,12,19,0,0,0,6,0
0,12.614285714285714,7,7,11,8,8,11,1,0,0,12,0
0,12.2,6,5,6,6,6,7,1,0,1,10,0
0,11.75,4,4,10,6,6,13,1,0,0,15,0
0,11.4,3,5,9,6,6,9,1,0,1,10,0
0,10.6,2,5,14,6,6,10,1,0,0,10,0
0,10.923076923076923,11,13,13,13,16,16,1,0,0,3,0
0,12.4,5,5,9,6,6,6,1,0,0,5,0
1,0.0,0,0,6,6,6,6,1,0,0,4,1
0,15.833333333333334,6,6,8,6,6,6,1,0,0,4,0
0,11.8,6,5,9,7,7,12,1,0,0,12,0
0,12.571428571428571,6,6,6,6,6,7,1,0,0,15,0
0,12.0,4,3,7,5,5,7,1,0,0,14,0
0,13.3625,8,7,9,8,7,8,1,1,0,12,0
0,15.4,5,5,5,5,5,6,1,0,1,6,0
0,12.2,4,5,9,6,6,9,0,0,0,15,0
0,12.818181818181818,11,11,11,11,11,11,1,0,1,10,0
1,0.0,0,0,0,8,7,0,1,0,0,12,1
0,13.394736842105264,17,17,19,17,17,21,1,0,0,12,0
0,14.25,6,6,8,6,6,8,1,0,1,10,0
0,13.444444444444445,7,9,7,7,11,19,1,0,0,3,0
0,12.285714285714286,8,7,10,8,7,8,1,0,1,12,0
0,11.666666666666666,5,6,7,6,6,7,1,0,0,5,0
0,12.166666666666666,6,6,6,6,6,8,1,0,0,11,0
0,10.0,2,2,15,6,6,11,1,0,0,16,0
0,14.0,6,6,6,6,6,6,1,0,0,5,0
0,11.833333333333334,4,5,6,6,6,9,1,0,0,16,0
1,15.0,0,1,12,5,6,7,0,1,0,15,1
1,0.0,0,0,0,0,0,0,1,0,1,2,1
0,10.833333333333334,6,6,6,6,6,7,1,0,0,11,0
0,13.142857142857142,6,6,6,6,6,7,1,0,1,10,0
0,14.4,5,5,6,5,5,8,0,0,1,6,0
1,0.0,0,0,0,6,6,0,0,0,0,10,1
0,12.0,9,7,19,12,12,17,1,1,0,4,0
0,12.2,10,9,12,10,10,13,1,1,0,17,0
0,12.333333333333334,2,3,2,2,3,3,0,1,0,6,0
0,11.8375,8,7,9,8,7,8,1,1,0,12,0
0,11.8,5,5,6,5,5,5,1,1,0,17,0
1,0.0,0,0,9,5,5,5,0,1,0,9,1
1,0.0,0,0,0,6,6,0,1,1,0,8,1
0,12.68421052631579,13,19,13,13,19,19,1,1,0,4,0
0,12.571428571428571,4,6,10,6,6,8,1,1,0,11,0
1,11.25,0,3,7,7,7,18,0,1,0,1,1
0,14.0,4,4,9,5,5,13,1,1,0,8,0
0,13.333333333333334,2,4,6,5,5,15,1,1,0,9,0
0,13.666666666666666,6,6,6,6,6,7,1,1,0,3,0
0,10.0,5,3,9,6,6,12,1,1,0,11,0
0,12.6,6,5,11,6,6,12,1,1,0,4,0
0,17.333333333333332,1,3,11,5,5,10,1,1,0,7,0
0,13.2,3,5,21,6,6,10,0,1,0,6,0
0,14.0,3,3,8,5,5,9,1,1,0,9,0
0,13.875,1,4,1,1,4,4,1,1,0,13,0
1,0.0,0,0,5,5,5,5,1,1,0,17,1
0,13.11111111111111,7,9,7,7,9,9,1,1,0,10,0
0,13.0,4,5,11,5,5,8,1,1,1,17,0
0,12.5,7,10,7,7,10,10,1,1,0,3,0
0,14.11111111111111,13,18,13,13,18,18,1,1,0,4,0
0,14.727272727272728,9,11,9,9,11,11,1,1,0,11,0
1,0.0,0,0,6,5,6,6,0,1,0,3,1
1,0.0,0,0,5,5,5,5,1,1,0,17,1
1,0.0,0,0,5,5,5,5,0,1,0,7,1
0,13.5,5,4,6,5,5,7,1,1,0,6,0
0,13.105714285714283,7,7,8,8,8,8,1,1,0,12,0
0,13.5,5,5,5,5,5,8,1,1,0,6,0
0,11.846153846153848,11,13,11,11,13,18,1,1,0,3,0
1,0.0,0,0,5,5,5,5,1,1,0,8,1
1,14.333333333333334,0,3,6,6,6,11,0,1,0,14,1
0,15.8,5,5,5,5,5,10,1,1,0,17,0
0,13.8,5,5,7,6,6,16,1,1,0,14,0
0,12.666666666666666,3,6,11,9,10,18,1,1,0,1,0
0,13.0,6,6,9,6,6,10,1,1,0,11,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
1,11.0,0,1,0,6,6,6,0,1,0,3,1
1,0.0,0,0,9,5,5,9,0,1,0,8,1
0,15.2,8,7,8,8,7,7,1,1,0,12,0
0,14.428571428571429,7,6,8,7,6,7,1,1,0,14,0
1,0.0,0,0,5,5,5,5,1,1,0,17,1
1,0.0,0,0,0,0,0,0,1,1,0,2,1
0,13.75,5,4,8,6,6,13,1,1,0,14,0
0,12.166666666666666,3,5,15,6,6,11,0,1,1,15,0
0,12.142857142857142,5,5,11,6,6,12,1,1,0,4,0
0,12.0,5,6,8,6,6,9,1,1,0,11,0
0,11.666666666666666,4,3,7,5,5,10,1,1,0,9,0
1,0.0,0,0,6,6,6,9,1,1,0,8,1
0,11.875,5,6,8,6,6,10,1,1,0,14,0
0,11.285714285714286,6,7,10,7,11,15,1,1,0,15,0
0,10.0,3,2,15,6,6,17,1,1,0,11,0
0,12.0,10,11,15,11,12,13,1,1,0,2,0
0,13.833333333333334,5,6,7,6,7,7,1,1,0,15,0
1,0.0,0,0,0,6,6,0,1,1,0,5,1
0,14.428571428571429,6,6,6,6,6,7,1,1,0,11,0
0,14.2,6,5,9,7,7,8,1,1,0,12,0
0,11.5,3,4,9,5,5,8,1,1,0,17,0
0,13.0,6,5,6,6,6,7,1,1,0,15,0
1,0.0,0,0,8,6,6,6,0,1,0,4,1
0,11.333333333333334,2,3,13,6,6,12,0,1,0,4,0
0,12.5,12,18,26,13,18,45,1,1,0,6,0
1,0.0,0,0,5,5,5,5,1,1,0,14,1
0,13.471428571428572,8,7,9,8,7,7,1,0,0,12,0
0,11.75,3,4,5,5,5,5,1,0,0,14,0
0,13.333333333333334,6,6,10,6,6,9,1,0,1,5,0
0,13.105,8,8,8,8,8,8,1,0,1,12,0
1,0.0,0,0,6,5,5,5,0,0,0,17,1
0,15.5,6,6,7,6,6,6,1,1,1,5,0
1,0.0,0,0,0,0,0,0,0,1,0,2,1
0,11.25,3,4,7,6,6,6,0,1,0,14,0
0,11.0,11,12,21,14,15,24,0,1,0,17,0
0,12.333333333333334,4,6,9,6,6,10,1,1,0,11,0
0,11.375,5,8,11,5,9,18,1,0,0,9,0
0,12.22222222222222,12,18,15,12,18,19,1,1,0,4,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
0,12.0,6,9,8,7,9,11,1,1,0,3,0
0,11.0,1,1,10,5,5,10,1,1,0,9,0
0,14.125,10,16,14,11,16,17,1,1,0,3,0
0,10.2,5,5,7,5,5,8,1,1,0,9,0
0,12.0,4,4,6,5,5,7,1,0,0,8,0
0,12.333333333333334,7,9,7,7,9,11,1,0,0,17,0
0,14.333333333333334,7,9,7,7,9,9,1,1,0,3,0
0,15.166666666666666,6,6,9,6,6,6,1,1,0,14,0
0,15.142857142857142,6,6,8,6,6,8,1,0,1,6,0
1,0.0,0,0,0,6,6,0,1,0,0,15,1
0,13.411428571428573,7,6,12,8,7,9,1,0,0,12,0
0,12.333333333333334,6,6,7,6,6,7,1,0,0,10,0
0,11.8,4,4,18,6,6,13,1,0,0,6,0
0,12.0,3,6,12,6,6,9,1,0,0,6,0
0,15.0,6,6,8,6,6,7,1,0,0,6,0
0,13.875,9,8,13,11,12,12,1,0,0,2,0
0,11.833333333333334,6,6,7,7,7,9,1,0,0,16,0
0,12.5,6,6,6,6,6,6,1,0,1,15,0
0,15.0,6,6,6,6,6,6,1,0,1,15,0
0,11.666666666666666,4,2,10,6,6,10,1,0,0,14,0
0,14.668,8,7,8,8,7,10,1,0,1,12,0
0,13.345,6,6,9,8,8,9,1,0,0,12,0
0,12.8,6,5,6,6,6,7,1,0,1,15,0
0,10.833333333333334,6,6,7,6,6,10,1,0,0,10,0
0,13.666666666666666,5,6,6,6,6,6,1,0,0,5,0
0,14.537142857142856,7,7,8,8,8,8,1,0,0,12,0
0,14.4,5,5,5,5,5,5,1,0,1,6,0
1,0.0,0,0,0,0,0,0,1,0,1,2,1
0,13.166666666666666,6,6,6,6,6,6,1,0,1,15,0
1,11.5,0,2,9,7,6,15,0,1,0,12,1
0,11.333333333333334,6,6,7,6,6,7,1,0,1,10,0
0,12.0,5,6,6,6,6,6,1,0,0,10,0
0,13.166666666666666,6,6,6,6,6,6,1,0,1,15,0
0,14.833333333333334,6,6,6,6,6,6,1,0,1,15,0
0,13.0,9,7,9,9,7,7,1,0,0,5,0
0,13.087142857142856,8,7,8,8,7,8,1,0,0,12,0
0,13.333333333333334,6,6,7,6,6,8,1,0,1,8,0
0,12.166666666666666,4,6,10,6,6,7,1,0,0,16,0
0,11.0,4,6,10,6,6,8,0,0,1,5,0
1,0.0,0,0,0,6,6,0,0,0,0,10,1
0,13.6,5,5,6,5,5,7,1,0,0,9,0
0,15.5,6,6,6,6,6,6,1,0,0,15,0
0,13.857142857142858,7,7,7,7,7,7,1,0,0,16,0
0,11.5,3,2,8,5,5,10,1,0,0,9,0
0,13.0,6,6,6,6,6,6,1,0,1,5,0
0,14.0,4,6,11,6,6,10,0,0,0,8,0
1,0.0,0,0,0,6,4,4,1,0,0,15,1
0,11.166666666666666,6,6,9,6,6,6,1,0,0,5,0
1,0.0,0,0,0,6,6,0,0,0,1,10,1
0,12.142857142857142,6,7,9,7,7,8,1,0,1,16,0
0,14.145714285714286,8,7,9,8,7,7,1,0,1,12,0
0,14.45,8,7,9,8,7,7,1,0,0,12,0
0,15.714285714285714,7,7,7,7,7,7,1,0,0,16,0
0,12.8,3,5,11,5,5,9,1,0,0,9,0
0,12.5,6,6,8,6,6,6,1,0,0,5,0
0,14.5,6,6,6,6,6,6,1,0,0,5,0
0,13.462857142857144,7,7,10,8,7,7,0,0,1,12,0
0,12.833333333333334,6,6,6,6,6,6,1,0,0,3,0
0,12.0,4,5,8,5,5,10,1,0,1,9,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
0,14.714285714285714,6,6,16,7,7,9,1,0,0,6,0
0,12.571428571428571,6,6,7,6,6,7,1,0,1,10,0
0,12.5,6,6,6,6,6,6,1,0,1,15,0
0,14.0,5,6,9,6,6,8,1,0,0,14,0
0,11.571428571428571,6,7,9,7,7,8,1,0,0,16,0
0,15.833333333333334,6,6,6,6,6,6,1,0,1,5,0
0,14.25,8,8,8,8,8,8,1,0,0,12,0
1,0.0,0,0,0,6,6,0,1,0,0,14,1
0,11.666666666666666,6,6,10,6,6,8,1,0,0,11,0
1,0.0,0,0,10,5,6,12,1,0,0,10,1
0,13.2,2,5,7,5,5,9,1,0,0,8,0
0,12.0,1,2,12,6,6,11,1,1,0,8,0
1,0.0,0,0,5,5,5,6,1,1,0,7,1
0,12.0,2,4,10,5,5,9,1,1,0,7,0
0,13.333333333333334,4,3,9,5,5,10,1,1,0,7,0
0,12.414285714285713,2,5,13,7,7,11,1,1,0,13,0
1,0.0,0,0,5,5,5,5,0,1,0,8,1
0,13.8,5,5,7,5,5,5,1,1,0,9,0
1,0.0,0,0,5,5,5,14,0,0,0,9,1
0,11.5,4,4,11,5,5,10,0,1,0,9,0
1,0.0,0,0,6,5,5,11,0,1,0,8,1
0,14.016666666666666,6,6,7,7,7,7,1,0,0,12,0
0,11.4,5,5,8,6,6,9,1,0,0,10,0
1,0.0,0,0,0,0,0,0,0,0,1,2,1
0,10.4,5,5,11,5,5,12,1,0,0,17,0
0,10.666666666666666,4,3,9,5,5,11,1,0,0,9,0
0,14.25,5,4,8,5,5,9,1,0,0,6,0
0,13.914285714285713,8,7,8,8,7,7,1,0,1,12,0
0,13.761111111111113,7,7,11,8,7,9,1,0,0,12,0
0,12.6,4,5,9,6,6,10,1,0,0,16,0
0,13.857142857142858,6,6,6,6,6,7,1,0,1,10,0
0,13.842857142857143,7,7,8,8,8,8,1,1,1,12,0
1,0.0,0,0,8,5,5,12,0,1,0,7,1
1,11.8,0,5,9,6,6,6,1,1,0,15,1
0,12.666666666666666,6,6,6,6,6,6,1,1,0,10,0
1,0.0,0,0,6,6,6,6,1,1,0,4,1
1,0.0,0,0,5,5,5,7,1,1,0,7,1
0,10.75,2,4,13,6,6,11,1,1,0,15,0
0,12.6,3,5,9,5,5,7,1,1,0,7,0
1,0.0,0,0,5,5,5,5,0,1,0,9,1
0,12.0,7,2,10,9,7,7,1,1,0,5,0
0,14.0,2,3,9,6,6,7,0,1,0,14,0
0,14.0,6,6,11,6,6,6,0,1,0,6,0
0,14.682857142857143,8,7,9,8,7,7,1,1,1,12,0
1,0.0,0,0,0,5,3,3,1,1,0,7,1
1,0.0,0,0,7,5,5,6,1,1,1,7,1
0,13.857142857142858,5,6,7,6,6,7,1,1,0,11,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
0,13.142857142857142,6,6,7,6,6,8,1,1,0,11,0
0,18.0,2,1,9,5,5,14,1,1,0,7,0
0,11.461538461538462,10,13,15,11,15,15,1,1,0,17,0
0,11.2,6,5,11,8,7,14,1,1,1,13,0
0,15.0,4,5,8,6,6,6,1,1,0,4,0
0,14.244444444444444,8,7,12,8,7,9,1,1,1,12,0
0,11.5,5,4,7,6,6,8,1,1,1,5,0
1,10.0,0,2,7,7,7,7,1,1,1,13,1
0,12.333333333333334,5,3,5,5,5,7,1,1,0,14,0
0,12.2,7,5,10,9,7,8,1,1,0,5,0
0,13.666666666666666,5,6,7,6,6,6,1,1,1,5,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
1,11.0,0,1,10,6,6,15,0,1,0,4,1
0,13.0,6,3,14,10,6,8,0,1,0,4,0
0,12.599999999999998,7,7,12,8,8,12,1,0,1,12,0
0,12.2,9,10,12,10,10,11,1,0,0,15,0
0,13.166666666666666,6,6,6,6,6,6,1,0,0,15,0
0,11.0,7,6,9,7,7,16,1,0,1,10,0
0,14.014285714285714,8,7,8,8,7,7,1,0,1,12,0
0,13.0,4,4,13,6,6,9,1,0,1,15,0
0,14.0,6,6,6,6,6,6,1,0,0,15,0
1,0.0,0,0,0,0,0,0,0,0,0,2,1
0,14.428571428571429,7,7,8,8,8,8,1,0,1,12,0
1,0.0,0,0,10,5,5,9,0,0,0,3,1
0,11.833333333333334,13,18,27,13,18,45,1,0,0,6,0
0,11.333333333333334,1,3,10,5,5,12,0,0,0,17,0
0,12.5,6,6,9,6,6,9,1,0,0,15,0
0,13.333333333333334,11,12,12,12,12,12,1,0,1,5,0
0,10.833333333333334,4,6,10,6,6,10,1,0,0,11,0
0,13.0,6,6,6,6,6,6,1,0,1,14,0
0,10.0,2,2,11,5,5,7,1,0,0,9,0
0,11.428571428571429,5,6,11,6,6,8,1,0,1,10,0
0,12.8875,8,8,8,8,8,8,1,0,0,12,0
0,12.95,6,6,7,7,7,7,1,0,1,12,0
1,10.0,0,1,5,5,5,12,1,0,0,9,1
0,13.094285714285714,8,7,8,8,7,7,1,0,1,12,0
1,0.0,0,0,6,6,6,7,1,0,0,14,1
0,11.714285714285714,6,5,11,6,6,12,1,0,1,10,0
0,11.25,3,4,15,6,6,8,1,0,0,10,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
0,13.166666666666666,6,6,6,6,6,6,1,0,0,16,0
0,12.75,5,4,5,5,5,7,1,0,0,6,0
0,10.6,2,5,9,5,5,6,0,0,0,17,0
0,11.2,6,5,6,6,6,8,1,0,0,3,0
1,0.0,0,0,0,8,7,0,1,0,0,12,1
0,13.0,6,6,6,6,6,6,1,0,0,15,0
1,0.0,0,0,5,5,5,10,1,0,0,17,1
1,0.0,0,0,0,6,6,0,1,0,0,3,1
0,14.166666666666666,6,6,9,6,6,8,1,0,0,4,0
0,12.833333333333334,6,5,6,6,6,10,1,0,1,3,0
0,11.75,5,4,9,6,6,11,1,0,1,3,0
0,10.833333333333334,6,6,7,6,6,8,1,0,1,3,0
0,11.75,4,4,8,6,6,8,1,0,0,10,0
0,11.5,2,3,9,7,7,14,0,0,1,12,0
0,10.0,3,2,7,5,5,14,1,0,0,17,0
0,13.7,6,6,7,7,7,7,1,0,1,12,0
1,14.0,0,1,12,5,5,8,1,0,0,6,1
0,11.375,6,7,10,7,8,12,1,0,0,3,0
1,0.0,0,0,6,6,6,17,1,0,0,6,1
1,0.0,0,0,0,6,6,10,1,0,0,10,1
0,11.0,2,1,9,5,5,9,1,0,0,9,0
0,13.0,7,6,7,7,7,10,1,0,1,16,0
0,13.6,8,8,10,8,11,15,1,0,0,14,0
0,11.0,2,3,9,5,5,8,1,0,0,9,0
